,text
181,"""Wall"" money ought to go to Houston, not the fing wall.  #HoustonFlood #Harvey #RebuildHoustonNotWall"
182,"You should tell people (in other states) how they can help...donate blood, money, time etc. #HurricaneHarvey #HARVEY @CNN @AnaCabrera"
183,"@cnn @AnaCabrera   You should tell people (in other states) how they can help...donate blood, money, time etc. #HurricaneHarvey #HARVEY"
184,"@AnaCabrera @cnn  You should tell people (in other states) how they can help...donate blood, money, time etc. #HurricaneHarvey #HARVEY"
185,As POTUS you have an obligation to take care of American displaced by #Harvey As a Billionaire you should give your own money to support.
186,"Sending blessings for safety... and money to help with disaster relief via @RedCross 

#Harvey
#Harvey2017… https://t.co/TjFCMlkxZC"
187,"@cnn @AnaCabrera   You should tell people (in other states) how they can help...donate blood, money, time etc. #HurricaineHarvey #HARVEY"
188,"You should tell people (in other states) how they can help...donate blood, money, time etc. #HurricaineHarvey #HARVEY @CNN @AnaCabrera"
189,"No, #JoeArpaio, instead of your ""legal defense fund,"" my money went to #Harvey @RedCross. I respect them, not you
https://t.co/iXUZ2yYccU"
190,"@RepWalterJones Sir, we don't give a damn about @realDonaldTrump's Great Wall. Spend money on #Harvey relief instead."
191,"@SenThomTillis Sir, we don't give a damn about @realDonaldTrump's Great Wall. Spend money on #Harvey relief instead."
192,"@SenatorBurr - Sir, we don't give a damn about @realDonaldTrump's Great Wall. Spend money on #Harvey relief instead."
193,"Why not @realDonaldTrump, his kids &amp; other billionaire friends donate money to help victims of #Harvey? The fortunate can part with $$$$$$$"
194,"@SalvationArmyUS I donated money, but is there any places taking clothes and food donations in the state of Florida strictly for #Harvey?"
195,"#Harvey relief highly rated orgs via @CharityNav for accountability, transparency &amp; efficient use of your money:    https://t.co/65Bepo0ENj"
196,Good list of ways to help. Avoid giving money to charities that don't predate #Harvey. They may mean well but lack… https://t.co/06h20gelfi
197,"@realDonaldTrump Omg, you are afraid Texas disaster will take money from wall. You freaking no brain RACIST LOSER!… https://t.co/AzQkKgoOUf"
198,".@realDonaldTrump 
Any and ALL money you are seeking to fund ""The Wall"" MUST be redirected to protect, save and rebuild Texas #Harvey"
199,@billprady @realDonaldTrump: I just donated money to @RedCross for #Harvey relief.  Why don't you spend wall $$ for… https://t.co/oPXVZQXHsI
200,"do not give your money to #houston #harvey, if americans have billions of dollars for israel &amp; to create all wars, they have 4 help too."
201,@TheDRock Yep! This storm is costing me money! #Harvey be gone!
202,"@RedCross I donated money, but is there any places taking clothes and food donations in the state of Florida strictly for #Harvey?"
203,Or your could use that money to help victims of #Harvey (but go ahead &amp; hold you're breath till Mexico agrees to pa… https://t.co/aCDlDZXsWl
204,@realDonaldTrump Do you still plan to now use #Texas taxpayer money to now pay for your idiotic wall versus helping… https://t.co/PRAyyT2FZE
205,@realDonaldTrump Spend the money from the wall on Texas relief and natural disaster relief for our country instead! #houston #harvey
206,"@realDonaldTrump Thanks, but zero terrorists have come in from our already safe TX border. We will take that money… https://t.co/u5PSpznw3q"
207,We could use the money for the #wall to fix Texas. #Harvey #houstonflood #Houston
208,"US RedCross donation site might say that you payment option is invalid, but they DO deduce money from your account. (Keep it though!)#Harvey"
209,"You can help now, with money, but you keep helping when you can travel to Texas and rebuild a house or support people in the #harvey path."
210,MAYbe the oil/gas companies that make stupid money in Texas will really get behind these effected communities. #Harvey
211,@realDonaldTrump YOU DIDN'T approve MONEY. NC unfortunately went to you &amp; you didn't give them the money they neede… https://t.co/kcAhkT4SwR
212,Fuck Texas! I don't want my tax money going to them! They voted against Sandy relief! #fucktexas #hurricaneharvey #texas #harvey #sandy
213,"And the bill for whatever entourage accompanies him 
$$$$ - spend that money on #Harvey victims"
214,"@JoyAnnReid @RebeccaSWH Glad you used the word would, Joy. I don't think there's money earmarked for #Trump's mythi… https://t.co/DyH1zvxEby"
215,15) #Texas and #Louisiana both will need money and man power to rebuild after #Harvey.  But please be safe and smart about giving.
216,"If you recieved any money from #MayweatherVsMcGregor , make sure to donate some of it to #Harvey . You will be a hero and maybe save someone"
217,@brianstelter @edlavaCNN And @realDonaldTrump now wants to spend billions of US taxpayer money for a pointless wall… https://t.co/KqFJbXEMt3
218,Annual reminder NOT to donate to the Red Cross. None of that money materially helps disaster survivors. Give to local orgs instead. #Harvey
219,@POTUS @SpeakerRyan Spend the wall money to help TX and LA victims of #harvey!
220,"Shut up about ""why didn't they..?"" Those discussions are for later. Retweet rescue pleas and donate money. #HarveyStorm #Harvey #houston"
221,@capitalweather @EricLiptonNYT Good thing #Trump is now advocating wasting billions US taxpayer money on a pointles… https://t.co/JBhj2fdFgD
222,"Dear Houston, and all other areas torn apart by #Harvey. Good people across America are praying, sending money, and supplies. We care."
223,"@Potus Hey, why not spend the wall money where it will be useful? Like for restoring Texas after #Harvey."
224,A thought. How about we put the money for #Trump wall to help the victims of #Harvey? #PrayersforTexas
225,@IndvsbleTXLege Why? Just send the money it'll cost to drag his oversized ego here to the Red Cross. That'll actual… https://t.co/9iWA6QT67l
226,@realDonaldTrump Please do the right thing. Spend this money that you are lobbying for on those effected by #Harvey… https://t.co/2v6WN2CfTl
227,"Forget the wall. Instead of cutting funds, divert all the money to #Harvey #TexasFlood &amp; help in Rebuilding process… https://t.co/kriADXM4YN"
228,@realDonaldTrump Insted you coming 2 #Texas use the money you will spend in your own security &amp; donate to the… https://t.co/UdYbwKF2oV
229,@realDonaldTrump You should use the money you want to spend on this ridiculous useless wall for #Harvey disaster relief. @GOP @HouseGOP
230,"Dear @realDonaldTrump, hope you &amp; your cronies lose lots of money due to #harvey because that's all you care about. #winning #maga"
231,"Good. Load Air Force 1 with food, water and all the money @POTUS can bring. #BringTHEGOODS #Harvey #houstonflood… https://t.co/LffjqcGzWY"
232,"Faithfuls if you want to donate money to help the efforts going on in Texas just text HARVEY to 90999

Let's do all we can

#Harvey"
233,"It speaks to money. It speaks to available transportation. It speaks to ability to be mobile, even. #Harvey https://t.co/90zy1zBIsw"
234,"@realDonaldTrump Hey, why not spend the wall money where it will be useful? Like for restoring Texas after #Harvey."
235,"Do U.S. brother Israel send any help for #Harvey floods in #Texas? But, @BarackObama gave $33 billion U.S. tax money to them | #cdnpoli #Aid"
236,C'Mon @CNN! You can't evacuate if you don't have transportation or money to do so!!! How about you use your influen… https://t.co/xUeww8d3cP
