,text
239,"Scientology Volunteer Ministers helping 5000 with clothes, towels, shoes, hygiene supplies, diapers #Harvey https://t.co/7SrUmBDNKL"
240,People bashing #FLOTUS #MELANIATRUMP 4wearing stilettos to #Harvey. Those are work clothes. She's tasked w/getting strip clubs up &amp; running.
241,Hey @BrooksBrothers you're the all American brand - #Harvey victims will need professional clothes when this clears up - donations?
242,First box of clothes ready to drop off at Matthew 25 Ministries for the folks in Texas. #moretocome #harvey… https://t.co/ioWLiEJ6Qx
243,Here's the scene from the convention center. They are turning away clothes donations. The relief effort begins… https://t.co/uxz7KNQBiz
244,Interesting take on best ways biz owners can help #Harvey. Hint: Don't send clothes: https://t.co/r5svwp1Lck @Inc @RealEvilHRLady
245,".@ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene su… https://t.co/BLsKF2KJDE"
246,".@ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene su… https://t.co/gtdsLyYLms"
247,".@ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene su… https://t.co/F7dGAq5BLp"
248,".@ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene su… https://t.co/U5on3eOcG4"
249,"Local printing shop in La Grange, Hengst Printing, is giving away clothes for free to flood victims. #Harvey… https://t.co/nhUgMFGYnm"
250,Can anyone let me know what shelters in Pasadena are in need of donations? Particularly clothes? #HoustonStrong #Harvey
251,".@ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene su… https://t.co/68YsTKJkS4"
252,#HoustonStrong collecting clothes &amp; other items 4 #Harvey victims w/ @AdrBell @PlummerTX22 Thank u donors!… https://t.co/DbhXOc0kof
